IdCN;NazwaCN;OpisCN;UwagaCN;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
0802 21 00;Orzechy leszczyny "Corylus spp.", świeże lub suszone, w łupinach;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0802 31 00;Orzechy włoskie, świeże lub suszone, w łupinach;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0802 41 00;Kasztany "Castanea spp.", świeże lub suszone, w łupinach;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0802 51 00;Pistacje, świeże lub suszone, w łupinach;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0802 61 00;Orzechy makadamia, świeże lub suszone, w łupinach;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0802 70 00;Orzechy kola (Cola spp.), świeże lub suszone, nawet łuskane lub obrane;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0802 80 00;Orzechy areka, świeże lub suszone, nawet łuskane lub obrane;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0802 91 00;Orzechy sosny, świeże lub suszone,w łupinach;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0802 99 10;Orzechy pecan, swieże lub suszone;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0802 99 90;Pozostałe orzechy, świeże lub suszone, nawet łuskane lub obrane, gdzie indziej niesklasyfikowane (z wył. orzechów kokosowych, orzechów brazylijskich,  orzechów nerkowca, migdałów, orzechów laskowych, orzechów włoskich, kasztanów, pistacji, orzechów makadamia, orzechów kola, orzechów areka i orzechów sosny);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0803 10 10;Plantany, świeże;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0803 90 11;Plátano de Canarias, świeże;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0803 90 19;Banany, świeże (z wył. plantanów i Plátano de Canarias);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0804 10 00;Daktyle, świeże lub suszone;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0804 20 10;Figi, świeże;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0804 30 00;Ananasy, świeże lub suszone;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0804 40 00;Awokado, świeże lub suszone;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
