IdUprawa_TypUprawa;IdUprawa;IdTypUprawa;NazwaUprawa_TypUprawa;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
01.26.11.0_501;01.26.11.0;501;Oliwki stołowe w plonie głównym;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.26.12.0_501;01.26.12.0;501;Oliwki do produkcji oliwy w plonie głównym;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.26.20.0_501;01.26.20.0;501;ORZECHY KOKOSOWE w plonie głównym;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.26.90.0_501;01.26.90.0;501;POZOSTAŁE OWOCE OLEISTE, GDZIE INDZIEJ NIESKLASYFIKOWANE w plonie głównym;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.27.11.0_504;01.27.11.0;504;Kawa niepalona jako poplon;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.27.12.0_505;01.27.12.0;505;Herbata jako wsiewka;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.27.13.0_505;01.27.13.0;505;Maté (herbata paragwajska) jako wsiewka;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.27.14.0_504;01.27.14.0;504;Ziarna kakao jako poplon;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.11.0_505;01.28.11.0;505;Pieprz surowy z rodzaju Piper jako wsiewka;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.12.0_505;01.28.12.0;505;Chili i słodka papryka (z rodzaju Capsicum), surowe, suszone jako wsiewka;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.13.0_501;01.28.13.0;501;Gałka muszkatołowa, kwiat muszkatołowy i kardamon, surowe w plonie głównym;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.14.0_502;01.28.14.0;502;Anyż, badian, kolendra, kmin, kminek, koper i jagody jałowca, surowe jako przedplon;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.15.0_502;01.28.15.0;502;Cynamon surowy i kwiaty cynamonowca jako przedplon;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.16.0_503;01.28.16.0;503;Goździki (całe owoce, kwiaty i szypułki) surowe jako międzyplon;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.17.0_501;01.28.17.0;501;Imbir surowy, suszony w plonie głównym;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.18.0_504;01.28.18.0;504;Wanilia surowa jako poplon;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.19.0_503;01.28.19.0;503;Pozostałe nieprzetworzone rośliny przyprawowe i aromatyczne jako międzyplon;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.20.0_504;01.28.20.0;504;Szyszki chmielowe jako poplon;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.30.0_503;01.28.30.0;503;Rośliny wykorzystywane głównie w przemyśle perfumeryjnym, farmacji lub dla celów owadobójczych, grzybobójczych i innych podobnych jako międzyplon;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.29.10.0_501;01.29.10.0;501;Kauczuk naturalny w plonie głównym;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:42;Darek Osuch;;
01.29.20.0_502;01.29.20.0;502;Choinki świąteczne cięte jako przedplon;Z;Zmodyfikowany;2025-03-25 19:09:42;Darek Osuch;2025-03-25 19:09:42;Darek Osuch;;
01.29.30.0_503;01.29.30.0;503;Materiały roślinne w rodzaju stosowanych głównie do wyplatania, wyściełania, wypychania lub w farbowaniu lub garbowaniu jako międzyplon;Z;Zmodyfikowany;2025-03-25 19:09:42;Darek Osuch;2025-03-25 19:09:42;Darek Osuch;;
01.30.10.0_504;01.30.10.0;504;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia" jako poplon;Z;Zmodyfikowany;2025-03-25 19:09:42;Darek Osuch;2025-03-25 19:09:42;Darek Osuch;;
